Id,Date,Hour,Minute,Long,Lat,NoZero_x,Havg_m,Tz_sec,Hmax_m,Hsig_m,Tsig_sec,H10_m,T10_sec,Tavg_sec,Tp_sec,TP5_sec,HMO_m,MeanDir_deg,MeanSpread_deg
264014461,06/11/14,00,04,-8.235403,51.768173,64,0.95,4.2,1.99,1.39,4.5,1.72,5.1,3.9,4.0,4.2,1.54,202.0,30.5
264017993,06/11/14,00,09,-8.235403,51.768173,64,0.94,4.1,1.65,1.33,4.2,1.52,4.4,4.0,4.2,4.3,1.44,206.7,31.5
264021497,06/11/14,00,15,-8.235403,51.768173,63,0.92,4.1,1.74,1.34,4.3,1.56,4.1,3.8,4.5,4.5,1.44,205.1,33.9
264025022,06/11/14,00,21,-8.235403,51.768173,78,0.72,3.4,1.79,1.2,4.0,1.48,4.0,3.7,4.4,4.2,1.27,198.9,35.9
264028556,06/11/14,00,27,-8.235403,51.768173,66,0.79,4.0,1.72,1.19,4.6,1.47,3.8,3.7,4.9,4.4,1.25,203.2,37.5
264032091,06/11/14,00,33,-8.235403,51.768173,73,0.84,3.6,1.94,1.28,4.0,1.61,4.3,3.7,4.7,4.5,1.42,203.8,33.6
264035635,06/11/14,00,39,-8.235403,51.768173,69,0.9,3.8,1.87,1.37,4.6,1.69,4.4,3.9,4.5,4.6,1.51,200.3,35.4
264039177,06/11/14,00,45,-8.235403,51.768173,68,0.94,3.9,2.05,1.42,4.6,1.68,4.2,3.7,4.4,4.5,1.52,202.5,37.3
264042720,06/11/14,00,51,-8.235403,51.768173,68,0.96,4.0,1.87,1.43,4.4,1.71,4.4,4.0,5.0,5.0,1.54,206.6,38.7
264046220,06/11/14,00,56,-8.235403,51.768173,64,1.05,4.1,2.04,1.51,4.6,1.8,4.3,4.0,5.0,5.0,1.64,203.3,37.4
264049768,06/11/14,01,02,-8.235403,51.768173,67,0.98,4.0,2.91,1.62,4.5,2.0,4.5,4.1,4.9,4.8,1.69,204.5,35.9
264053292,06/11/14,01,08,-8.235403,51.768173,64,1.0,4.0,2.14,1.56,4.6,1.88,4.3,4.0,4.5,5.0,1.77,202.1,36.1
264056826,06/11/14,01,14,-8.235403,51.768173,68,1.03,3.9,2.29,1.59,4.3,1.93,4.5,3.9,5.0,4.9,1.8,201.0,34.8
264060350,06/11/14,01,20,-8.235403,51.768173,65,1.21,4.1,2.6,1.75,4.4,2.06,4.3,4.0,4.5,4.6,1.94,206.0,35.3
264063863,06/11/14,01,26,-8.235403,51.768173,62,0.96,4.2,2.36,1.41,4.8,1.78,4.3,4.0,4.3,4.7,1.52,204.5,36.8
264067378,06/11/14,01,32,-8.235403,51.768173,63,1.06,4.2,2.23,1.5,4.4,1.78,4.4,3.9,5.4,5.1,1.72,196.9,39.2
264070922,06/11/14,01,37,-8.235403,51.768173,63,1.06,3.8,1.96,1.51,4.3,1.79,4.1,3.9,33.3,6.7,1.75,206.7,37.3
264074413,06/11/14,01,43,-8.235403,51.768173,58,1.03,4.3,1.79,1.53,4.5,1.73,5.2,4.1,33.3,21.5,1.77,186.4,43.1
264077957,06/11/14,01,49,-8.235403,51.768173,58,1.13,4.6,2.56,1.77,5.1,2.23,5.9,4.2,4.7,5.1,1.92,193.9,37.9
264081500,06/11/14,01,55,-8.235403,51.768173,57,1.18,4.7,2.12,1.61,4.7,1.84,4.6,4.1,5.0,5.0,1.8,206.3,38.8
264085012,06/11/14,02,01,-8.235403,51.768173,61,1.04,4.3,2.13,1.6,4.7,1.87,4.7,4.2,5.4,5.4,1.69,190.3,42.6
264088554,06/11/14,02,07,-8.235403,51.768173,60,1.18,4.3,2.36,1.73,4.6,2.03,4.6,4.1,4.9,4.9,1.84,191.7,39.4
264092078,06/11/14,02,13,-8.235403,51.768173,58,1.12,4.4,2.64,1.83,5.3,2.26,4.6,4.2,5.3,5.2,1.88,192.0,39.5
264095602,06/11/14,02,19,-8.235403,51.768173,59,1.11,4.4,2.9,1.7,4.7,2.31,5.0,4.3,4.8,4.9,1.85,186.5,43.9
264099137,06/11/14,02,24,-8.235403,51.768173,60,1.13,4.3,2.29,1.64,5.1,1.98,4.7,4.1,5.3,5.2,1.73,178.3,40.6
264102651,06/11/14,02,30,-8.235403,51.768173,62,1.15,4.2,2.26,1.67,4.8,1.94,4.9,4.1,5.0,5.0,1.85,196.6,39.4
264106200,06/11/14,02,36,-8.235403,51.768173,61,1.11,4.4,2.57,1.74,5.3,2.28,5.1,4.1,5.4,5.3,1.84,188.8,35.5
264109743,06/11/14,02,42,-8.235403,51.768173,55,1.21,4.7,2.5,1.89,5.4,2.15,5.9,4.5,33.3,8.7,2.07,179.6,36.9
264113277,06/11/14,02,48,-8.235403,51.768173,49,1.43,5.1,2.44,2.05,5.5,2.37,5.4,4.8,33.3,16.0,2.48,183.5,37.4
264116819,06/11/14,02,54,-8.235403,51.768173,56,1.24,4.7,2.83,1.82,5.3,2.17,5.1,4.6,5.3,5.4,2.01,184.0,39.7
264120361,06/11/14,03,00,-8.235403,51.768173,56,1.19,4.6,3.25,1.93,5.4,2.46,5.3,4.5,5.1,5.2,2.05,182.8,38.6
264123893,06/11/14,03,06,-8.235403,51.768173,57,1.19,4.6,2.95,1.84,5.1,2.57,5.0,4.4,5.9,5.5,1.91,186.9,34.9
264127417,06/11/14,03,11,-8.235403,51.768173,60,1.05,4.4,2.12,1.53,5.1,1.86,4.9,4.3,5.7,5.7,1.71,185.2,41.7
264130961,06/11/14,03,17,-8.235403,51.768173,53,1.33,4.8,2.71,1.91,5.4,2.28,5.2,4.4,5.3,5.5,1.99,182.8,39.4
264134475,06/11/14,03,23,-8.235403,51.768173,58,1.18,4.5,2.36,1.8,5.3,2.13,6.2,4.4,5.6,5.6,2.02,184.1,41.8
264138007,06/11/14,03,29,-8.235403,51.768173,59,1.19,4.5,3.01,1.79,5.1,2.18,5.1,4.5,5.6,5.5,1.95,179.0,37.7
264141550,06/11/14,03,35,-8.235403,51.768173,63,1.2,4.2,3.2,1.93,5.0,2.75,5.3,4.5,5.4,5.4,2.17,184.1,36.3
264145093,06/11/14,03,41,-8.235403,51.768173,61,1.14,4.4,2.47,1.64,5.2,2.06,5.3,4.2,5.1,5.4,1.87,188.5,37.1
264148636,06/11/14,03,47,-8.235403,51.768173,59,1.14,4.5,2.21,1.72,4.8,1.99,4.7,4.4,5.7,5.4,1.83,180.9,39.9
264152159,06/11/14,03,53,-8.235403,51.768173,52,1.33,4.9,2.53,2.06,6.3,2.35,5.7,4.6,5.6,5.8,2.29,186.3,34.7
264155702,06/11/14,03,58,-8.235403,51.768173,54,1.45,4.8,2.55,1.98,5.1,2.34,5.1,4.6,5.6,5.5,2.23,184.4,38.5
264159245,06/11/14,04,04,-8.235403,51.768173,52,1.45,5.0,3.27,2.17,5.4,2.62,5.4,4.5,5.9,5.9,2.21,182.7,33.2
264162780,06/11/14,04,10,-8.235403,51.768173,54,1.32,4.9,2.37,1.97,5.4,2.28,5.4,4.6,5.9,5.5,2.05,190.4,34.0
264166311,06/11/14,04,16,-8.235403,51.768173,59,1.22,4.5,2.86,1.92,5.4,2.48,5.4,4.4,5.9,5.5,2.05,186.9,34.0
264169835,06/11/14,04,22,-8.235403,51.768173,63,1.08,4.2,2.22,1.72,5.2,2.02,5.0,4.3,5.9,5.8,1.86,188.1,34.8
264173378,06/11/14,04,28,-8.235403,51.768173,55,1.19,4.7,2.88,1.81,5.0,2.26,5.6,4.6,6.1,5.9,1.96,190.6,32.8
264176901,06/11/14,04,34,-8.235403,51.768173,58,1.16,4.5,2.24,1.79,5.4,2.06,4.9,4.4,6.1,6.0,1.87,186.0,33.0
264180443,06/11/14,04,40,-8.235403,51.768173,53,1.23,4.9,2.76,1.73,5.6,2.03,4.7,4.5,5.0,5.1,1.91,190.5,35.5
264183987,06/11/14,04,45,-8.235403,51.768173,57,1.3,4.6,2.78,1.96,5.4,2.38,5.4,4.7,5.7,5.6,2.09,179.6,32.7
264187530,06/11/14,04,51,-8.235403,51.768173,55,1.23,4.7,2.74,1.91,5.5,2.29,5.4,4.6,6.1,6.2,2.03,181.0,29.2
264191063,06/11/14,04,57,-8.235403,51.768173,51,1.42,5.1,2.6,2.15,6.0,2.45,6.1,4.9,5.9,5.9,2.3,173.5,30.5
264194588,06/11/14,05,03,-8.235403,51.768173,54,1.32,4.8,2.53,1.98,5.7,2.31,5.5,4.7,6.5,6.3,2.15,178.1,31.1
264198100,06/11/14,05,09,-8.235403,51.768173,52,1.39,5.2,2.88,2.15,5.7,2.57,5.4,4.9,6.1,6.1,2.21,181.3,31.3
264201623,06/11/14,05,15,-8.235403,51.768173,55,1.35,4.8,3.42,2.05,5.3,2.49,5.1,4.7,6.1,6.0,2.16,179.7,31.4
264205157,06/11/14,05,21,-8.235403,51.768173,50,1.37,5.1,2.69,2.09,6.3,2.48,5.4,4.9,6.9,6.8,2.18,183.0,29.8
264208651,06/11/14,05,27,-8.235403,51.768173,52,1.56,5.0,3.19,2.37,5.7,2.77,6.0,5.0,6.7,6.5,2.52,178.2,27.5
264212193,06/11/14,05,32,-8.235403,51.768173,48,1.47,5.4,2.46,1.99,5.5,2.2,5.8,4.7,6.3,6.2,2.16,182.4,34.5
264215737,06/11/14,05,38,-8.235403,51.768173,49,1.73,5.4,3.39,2.54,6.0,3.05,6.1,5.2,6.5,6.4,2.67,180.0,27.1
264219280,06/11/14,05,44,-8.235403,51.768173,48,1.36,5.4,2.86,2.01,5.7,2.48,5.6,5.0,6.3,6.3,2.13,183.7,33.8
264222822,06/11/14,05,50,-8.235403,51.768173,54,1.5,4.9,2.79,2.18,5.7,2.52,6.0,4.9,6.5,6.3,2.37,187.1,35.9
264226346,06/11/14,05,56,-8.235403,51.768173,49,1.43,5.3,2.93,2.06,6.1,2.45,5.9,5.1,6.1,6.3,2.25,181.2,29.4
264229890,06/11/14,06,02,-8.235403,51.768173,50,1.68,5.3,3.83,2.68,6.2,3.42,6.1,5.4,7.1,7.1,2.74,186.2,29.4
264233423,06/11/14,06,08,-8.235403,51.768173,47,1.64,5.6,3.23,2.44,6.1,2.84,5.6,5.3,7.4,7.1,2.64,184.6,27.6
264236939,06/11/14,06,14,-8.235403,51.768173,46,1.57,5.7,3.79,2.47,6.1,3.09,6.4,5.2,6.9,6.8,2.56,182.1,28.3
264240478,06/11/14,06,19,-8.235403,51.768173,49,1.47,5.2,3.58,2.3,5.7,2.96,6.5,5.1,7.7,6.8,2.42,177.6,29.5
264244023,06/11/14,06,25,-8.235403,51.768173,49,1.4,5.3,2.8,2.12,6.0,2.46,6.1,5.2,7.1,6.9,2.26,184.9,29.0
264247516,06/11/14,06,31,-8.235403,51.768173,46,1.67,5.6,3.48,2.5,6.4,2.97,7.1,5.4,7.1,7.0,2.77,189.7,32.5
264251060,06/11/14,06,37,-8.235403,51.768173,52,1.44,5.1,3.23,2.22,5.8,2.75,6.7,5.3,6.7,6.7,2.4,182.5,32.2
264254603,06/11/14,06,43,-8.235403,51.768173,53,1.39,5.0,3.22,2.14,6.2,2.78,6.4,5.2,7.1,7.1,2.37,182.3,29.9
264258106,06/11/14,06,49,-8.235403,51.768173,44,1.67,5.9,3.84,2.28,6.1,2.9,5.6,5.3,5.4,5.6,2.53,181.4,30.1
264261619,06/11/14,06,55,-8.235403,51.768173,46,1.6,5.7,3.48,2.45,6.5,2.9,6.7,5.4,7.1,7.1,2.61,184.2,31.6
264265145,06/11/14,07,00,-8.235403,51.768173,46,1.67,5.6,3.25,2.42,6.4,2.87,5.8,5.5,6.5,6.5,2.62,185.6,28.3
264268678,06/11/14,07,06,-8.235403,51.768173,50,1.47,5.3,2.78,2.37,6.5,2.7,6.6,5.6,6.7,6.7,2.5,187.2,27.4
264272209,06/11/14,07,12,-8.235403,51.768173,44,1.69,5.9,3.58,2.46,6.1,2.98,6.6,5.5,6.7,6.6,2.69,178.2,30.5
264275703,06/11/14,07,18,-8.235403,51.768173,48,1.66,5.5,3.07,2.51,6.1,2.81,6.2,5.4,7.1,7.0,2.76,182.2,28.6
264279246,06/11/14,07,24,-8.235403,51.768173,47,1.4,5.4,3.2,2.13,6.5,2.69,6.5,5.5,7.4,7.4,2.31,183.3,29.3
264282788,06/11/14,07,30,-8.235403,51.768173,46,1.68,5.7,4.26,2.93,6.7,3.73,6.5,5.8,7.1,7.1,2.83,185.2,23.5
264286312,06/11/14,07,36,-8.235403,51.768173,50,1.39,5.0,2.68,2.12,6.1,2.59,6.6,5.2,7.7,7.0,2.3,179.9,32.8
264289852,06/11/14,07,42,-8.235403,51.768173,51,1.54,5.1,3.73,2.38,6.1,2.94,6.2,5.1,8.0,6.8,2.59,178.5,34.1
264293397,06/11/14,07,47,-8.235403,51.768173,49,1.46,5.4,4.27,2.25,6.1,3.04,6.5,5.3,7.7,6.7,2.4,180.2,28.1
264296941,06/11/14,07,53,-8.235403,51.768173,48,1.53,5.5,3.41,2.3,6.1,2.85,6.1,5.1,7.4,7.2,2.45,178.9,31.6
264300472,06/11/14,07,59,-8.235403,51.768173,46,1.81,5.8,4.58,2.75,6.7,3.47,6.4,5.6,7.4,7.3,2.91,182.1,25.8
264303989,06/11/14,08,05,-8.235403,51.768173,44,1.6,5.9,3.08,2.36,7.0,2.96,6.8,5.5,7.7,7.7,2.51,185.7,26.0
264307533,06/11/14,08,11,-8.235403,51.768173,55,1.35,4.8,3.68,2.33,6.5,2.98,6.2,5.0,7.1,7.2,2.49,181.4,32.2
264311046,06/11/14,08,17,-8.235403,51.768173,51,1.36,5.2,2.85,2.07,6.4,2.59,7.3,5.1,7.4,6.8,2.21,182.5,33.3
264314589,06/11/14,08,23,-8.235403,51.768173,44,1.65,6.0,4.19,2.56,6.5,3.34,6.6,5.6,7.4,7.4,2.63,180.6,24.1
264318132,06/11/14,08,29,-8.235403,51.768173,48,1.45,5.6,3.49,2.26,6.7,2.8,6.2,5.4,7.4,7.3,2.42,178.4,25.2
264321675,06/11/14,08,34,-8.235403,51.768173,46,1.35,5.6,2.5,1.87,6.8,2.21,6.7,5.1,7.4,7.4,2.16,172.7,32.5
264325218,06/11/14,08,40,-8.235403,51.768173,51,1.22,5.1,3.15,1.95,6.8,2.56,7.3,5.0,7.7,7.7,2.16,177.5,28.4
264328760,06/11/14,08,46,-8.235403,51.768173,46,1.45,5.7,2.66,2.08,6.8,2.42,6.5,5.3,8.0,7.2,2.16,182.1,29.0
264332285,06/11/14,08,52,-8.235403,51.768173,38,1.74,6.7,3.32,2.43,6.7,3.0,6.5,5.7,7.1,7.1,2.47,175.1,26.9
264335819,06/11/14,08,58,-8.235403,51.768173,50,1.22,5.2,2.32,1.83,6.0,2.22,6.1,5.1,7.1,6.8,2.0,176.9,31.4
264339353,06/11/14,09,04,-8.235403,51.768173,44,1.51,6.0,3.06,2.26,6.9,2.92,6.9,5.5,7.1,7.2,2.33,178.5,22.8
264342867,06/11/14,09,10,-8.235403,51.768173,49,1.28,5.5,3.13,1.94,6.1,2.31,6.4,5.0,7.4,6.4,2.02,177.9,32.1
264346406,06/11/14,09,16,-8.235403,51.768173,51,1.36,5.2,2.33,1.92,6.4,2.16,6.4,5.0,7.4,7.0,2.16,182.9,31.7
264349952,06/11/14,09,21,-8.235403,51.768173,47,1.51,5.5,2.81,2.28,6.4,2.59,7.2,5.3,8.0,7.7,2.44,184.0,26.9
264353476,06/11/14,09,27,-8.235403,51.768173,44,1.48,5.8,2.84,2.14,6.6,2.51,6.6,5.6,7.7,7.8,2.31,176.2,22.5
264357020,06/11/14,09,33,-8.235403,51.768173,51,1.18,5.2,2.61,1.83,6.6,2.23,7.0,5.0,8.0,8.0,1.96,172.7,29.5
264360562,06/11/14,09,39,-8.235403,51.768173,47,1.21,5.6,2.59,1.78,6.0,2.14,6.2,5.3,8.0,7.7,1.94,174.6,30.2
264364107,06/11/14,09,45,-8.235403,51.768173,47,1.24,5.7,2.28,1.81,6.8,2.12,7.3,5.2,7.4,7.5,1.99,181.0,30.0
