Id,Time,Long,Lat,Air Temp,BarPress(in),Wind Dir(DegMag),Wind Dir(DegTrue),Wind Speed (Knot),Wind Speed (m/s),BarPress(mb)
264008945,06/11/14 00:00,-8.235638618,51.76868439,11.5,29.6422,188.7,184.6,29.5,15.2,1003.8
264010759,06/11/14 00:03,-8.235641479,51.76869202,11.4,29.6422,194.1,190,36.1,18.6,1003.8
264012573,06/11/14 00:06,-8.235646248,51.76869202,11.5,29.654,163.7,159.6,22.7,11.7,1004.2
264014386,06/11/14 00:09,-8.235638618,51.76869202,11.4,29.6422,192.3,188.2,26.6,13.7,1003.8
264016191,06/11/14 00:12,-8.235630989,51.76869965,11.3,29.6392,195.8,191.7,22.6,11.6,1003.7
264018006,06/11/14 00:15,-8.235641479,51.76869965,11.4,29.6392,203.4,199.3,30,15.4,1003.7
264019810,06/11/14 00:18,-8.235646248,51.76871109,11.7,29.6511,221.6,217.5,24.6,12.7,1004.1
264021624,06/11/14 00:21,-8.23565197,51.76871872,11.5,29.6452,172.8,168.7,14.8,7.6,1003.9
264023428,06/11/14 00:24,-8.235650063,51.76871109,11.7,29.6274,204.9,200.8,19.5,10,1003.3
264025242,06/11/14 00:27,-8.235650063,51.76871109,11.6,29.6333,203.7,199.6,29.7,15.3,1003.5
264027056,06/11/14 00:30,-8.23565197,51.76872635,11.5,29.6363,195.3,191.2,18.4,9.5,1003.6
264028871,06/11/14 00:33,-8.235653877,51.76871872,11.5,29.6274,211.5,207.4,32.1,16.5,1003.3
264030684,06/11/14 00:36,-8.235646248,51.76871872,11.5,29.6422,206.7,202.6,16.8,8.6,1003.8
264032489,06/11/14 00:39,-8.235653877,51.76871872,11.6,29.6333,196.3,192.2,22,11.3,1003.5
264034292,06/11/14 00:42,-8.23565197,51.76871872,11.7,29.6304,201.3,197.2,20.1,10.3,1003.4
264036107,06/11/14 00:45,-8.235653877,51.76872635,11.4,29.6068,203.1,199,41.1,21.1,1002.6
264037919,06/11/14 00:48,-8.235646248,51.76872635,10.9,29.6186,207.9,203.8,26.9,13.8,1003
264039725,06/11/14 00:51,-8.235640526,51.76873398,11,29.6186,208.6,204.5,25.8,13.3,1003
264041529,06/11/14 00:54,-8.235644341,51.76872635,10.9,29.6245,180.4,176.3,17.1,8.8,1003.2
264043333,06/11/14 00:57,-8.23565197,51.76872635,10.9,29.6245,207.5,203.4,25.6,13.2,1003.2
264045146,06/11/14 01:00,-8.235650063,51.76872635,10.8,29.6068,207.5,203.4,27.9,14.4,1002.6
264046950,06/11/14 01:03,-8.235644341,51.76872635,10.9,29.6156,207.4,203.3,17.2,8.8,1002.9
264048764,06/11/14 01:06,-8.235648155,51.76872635,11,29.6097,208.2,204.1,22.6,11.6,1002.7
264050569,06/11/14 01:09,-8.235654831,51.76872635,11,29.5979,170.2,166.1,20.7,10.6,1002.3
264052382,06/11/14 01:12,-8.235648155,51.76872635,10.9,29.595,177.7,173.6,15.2,7.8,1002.2
264054188,06/11/14 01:15,-8.23565197,51.76871872,10.8,29.6038,200.5,196.4,16.2,8.3,1002.5
264055991,06/11/14 01:18,-8.235650063,51.76872635,11,29.5979,197.5,193.4,23.2,11.9,1002.3
264057806,06/11/14 01:22,-8.235650063,51.76872635,11.2,29.6068,193.4,189.3,20.5,10.5,1002.6
264059609,06/11/14 01:25,-8.235646248,51.76873398,10.9,29.592,206.1,202,24,12.3,1002.1
264061423,06/11/14 01:28,-8.235643387,51.76872635,10.9,29.5831,189.5,185.4,24,12.3,1001.8
264063237,06/11/14 01:31,-8.235648155,51.76872635,11,29.5772,202.9,198.8,26,13.4,1001.6
264065042,06/11/14 01:34,-8.23565197,51.76873398,10.9,29.589,192.7,188.6,19.2,9.9,1002
264066855,06/11/14 01:37,-8.235644341,51.76872635,10.5,29.5831,214.2,210.1,29.3,15.1,1001.8
264068660,06/11/14 01:40,-8.235632896,51.76873398,10.5,29.5861,187.9,183.8,17.5,9,1001.9
264070473,06/11/14 01:43,-8.235658646,51.76873398,10.7,29.5772,185.8,181.7,23.3,12,1001.6
264072278,06/11/14 01:46,-8.235654831,51.76872635,10.2,29.5772,212.2,208.1,24.7,12.7,1001.6
264074091,06/11/14 01:49,-8.235665321,51.76873398,10.5,29.5861,196.2,192.1,20.6,10.6,1001.9
264075896,06/11/14 01:52,-8.235650063,51.76872635,10.6,29.5802,218.9,214.8,22.8,11.7,1001.7
264077710,06/11/14 01:55,-8.235646248,51.76871872,10.7,29.5831,186.7,182.6,15.4,7.9,1001.8
264079514,06/11/14 01:58,-8.235653877,51.76872635,10.7,29.5772,189,184.9,14.9,7.7,1001.6
264081328,06/11/14 02:01,-8.235653877,51.76872635,10.8,29.5772,193.8,189.7,20.2,10.4,1001.6
264083133,06/11/14 02:04,-8.235646248,51.76873398,10.9,29.5654,190.6,186.5,14,7.2,1001.2
264084946,06/11/14 02:07,-8.235632896,51.76872635,10.8,29.5802,195.6,191.5,17.5,9,1001.7
264086751,06/11/14 02:10,-8.235654831,51.76871872,10.9,29.5743,211.6,207.5,20.6,10.6,1001.5
264088565,06/11/14 02:13,-8.235658646,51.76872635,10.7,29.5625,186.2,182.1,17.5,9,1001.1
264090379,06/11/14 02:16,-8.235635757,51.76872635,10.7,29.5713,202.8,198.7,29.8,15.3,1001.4
264092184,06/11/14 02:19,-8.235648155,51.76872635,10.8,29.5684,207,202.9,28.5,14.7,1001.3
264093987,06/11/14 02:22,-8.235653877,51.76871872,10.6,29.5536,196.5,192.4,23.8,12.2,1000.8
264095802,06/11/14 02:25,-8.235640526,51.76872635,10.5,29.5713,196.9,192.8,17.3,8.9,1001.4
264097615,06/11/14 02:28,-8.235644341,51.76871109,10.7,29.5536,187.2,183.1,28.2,14.5,1000.8
264099420,06/11/14 02:31,-8.23566246,51.76872635,10.5,29.5595,217.6,213.5,25.3,13,1001
264101233,06/11/14 02:34,-8.235646248,51.76872635,10.6,29.5595,195.6,191.5,16.3,8.4,1001
264103038,06/11/14 02:37,-8.23567009,51.76871109,10.5,29.5566,200.3,196.2,27.4,14.1,1000.9
264104842,06/11/14 02:40,-8.23565197,51.76872635,10.4,29.5536,199.9,195.8,19.8,10.2,1000.8
264106646,06/11/14 02:43,-8.235667229,51.76871872,10.1,29.5448,201.8,197.7,23,11.8,1000.5
264108459,06/11/14 02:46,-8.235661507,51.76872635,10.5,29.5477,208,203.9,23.2,11.9,1000.6
264110264,06/11/14 02:49,-8.235653877,51.76871109,10.7,29.5507,222,217.9,21.8,11.2,1000.7
264112077,06/11/14 02:52,-8.235653877,51.76871872,10.4,29.5566,216.1,212,20.5,10.5,1000.9
264113882,06/11/14 02:55,-8.235682487,51.76871872,10.3,29.5329,211.4,207.3,29.7,15.3,1000.1
264115686,06/11/14 02:58,-8.235661507,51.76871872,10.2,29.5477,177.8,173.7,17.5,9,1000.6
