Year,Leinster,Munster,Connacht,Ulster
1841,1973731,2396161,1418859,740048
1851,1672738,1857736,1010031,571052
1861,1457635,1513558,913135,517783
1871,1339451,1393485,846213,474038
1881,1278989,1331115,821657,438259
1891,1187760,1172402,724774,383758
1901,1152829,1076188,646932,345874
1911,1162044,1035495,610984,331165
1926,1149092,969902,552907,300091
1936,1220411,942272,525468,280269
1946,1281117,917306,492797,263887
1951,1336576,898870,471895,253252
1956,1338942,877238,446221,235863
1961,1332149,849203,419465,217524
1966,1414415,859334,401950,208303
1971,1498140,882002,390902,207204
1979,1743861,979819,418500,226037
1981,1790521,998315,424410,230159
1986,1852649,1020577,431409,236008
1991,1860949,1009533,423031,232206
1996,1924702,1033903,433231,234251
2002,2105579,1100614,464296,246714
2006,2295123,1173340,504121,267264
2011,2504814,1246088,542547,294803
