DateTime,Demand,Generation,Wind,CO2,NetImports,EWIC,Moyle
29/01/17 00:00,3834,4041,449,552,-145,-33,-112
29/01/17 00:15,3785,4041,505,548,-200,-108,-92
29/01/17 00:30,3708,4130,521,544,-294,-183,-111
29/01/17 00:45,3634,4181,492,543,-419,-258,-161
29/01/17 01:00,3581,4211,538,555,-503,-333,-170
29/01/17 01:15,3552,4278,561,531,-598,-379,-219
29/01/17 01:30,3491,4133,484,545,-516,-374,-142
29/01/17 01:45,3435,4143,474,551,-581,-365,-216
29/01/17 02:00,3374,4158,442,550,-653,-373,-280
29/01/17 02:15,3329,4135,421,550,-676,-377,-299
29/01/17 02:30,3299,4122,415,553,-693,-394,-299
29/01/17 02:45,3256,4146,401,558,-761,-469,-292
29/01/17 03:00,3228,4205,411,552,-774,-491,-283
29/01/17 03:15,3209,4194,394,553,-784,-500,-284
29/01/17 03:30,3187,4171,380,572,-785,-500,-285
29/01/17 03:45,3172,4084,377,566,-710,-500,-210
29/01/17 04:00,3160,3993,392,568,-633,-498,-135
29/01/17 04:15,3147,3971,380,572,-627,-494,-133
29/01/17 04:30,3123,3946,396,571,-625,-491,-134
29/01/17 04:45,3112,3931,409,572,-625,-491,-134
29/01/17 05:00,3109,3929,416,564,-624,-491,-133
29/01/17 05:15,3101,3981,424,561,-684,-500,-184
29/01/17 05:30,3093,3972,454,560,-683,-500,-183
29/01/17 05:45,3092,3969,474,573,-683,-500,-183
29/01/17 06:00,3109,3987,501,563,-683,-500,-183
29/01/17 06:15,3155,4110,521,560,-759,-500,-259
29/01/17 06:30,3167,4096,546,567,-732,-477,-255
29/01/17 06:45,3191,4110,583,581,-723,-470,-253
29/01/17 07:00,3228,4143,592,566,-722,-470,-252
29/01/17 07:15,3290,4142,574,571,-660,-470,-190
29/01/17 07:30,3334,4043,599,574,-586,-396,-190
29/01/17 07:45,3381,4022,561,574,-589,-391,-198
29/01/17 08:00,3370,3817,534,588,-464,-344,-120
29/01/17 08:15,3366,3803,547,594,-454,-335,-119
29/01/17 08:30,3412,3852,553,603,-455,-335,-120
29/01/17 08:45,3504,3936,573,593,-446,-335,-111
29/01/17 09:00,3605,4018,550,607,-428,-308,-120
29/01/17 09:15,3747,4159,581,600,-428,-233,-195
29/01/17 09:30,3843,4115,561,600,-289,-158,-131
29/01/17 09:45,3957,4163,560,589,-224,-158,-66
29/01/17 10:00,4051,4126,570,582,-91,-129,38
29/01/17 10:15,4165,4203,589,576,-57,-96,39
29/01/17 10:30,4219,4143,633,571,58,-21,79
29/01/17 10:45,4289,4122,652,554,150,-4,154
29/01/17 11:00,4342,4156,633,547,173,-1,174
29/01/17 11:15,4414,4209,639,547,190,1,189
29/01/17 11:30,4483,4289,609,540,176,1,175
29/01/17 11:45,4506,4326,600,548,165,-10,175
29/01/17 12:00,4568,4386,564,543,166,-10,176
29/01/17 12:15,4612,4478,534,527,116,-23,139
29/01/17 12:30,4668,4494,512,530,157,18,139
29/01/17 12:45,4707,4513,464,534,175,19,156
29/01/17 13:00,4715,4566,435,540,131,19,112
29/01/17 13:15,4711,4550,410,554,146,34,112
29/01/17 13:30,4669,4514,396,551,138,35,103
29/01/17 13:45,4616,4520,400,540,82,35,47
29/01/17 14:00,4577,4482,365,545,82,35,47
29/01/17 14:15,4543,4563,330,565,-38,10,-48
29/01/17 14:30,4529,4522,333,576,-10,10,-20
29/01/17 14:45,4494,4564,316,572,-83,-64,-19
29/01/17 15:00,4483,4575,315,569,-110,-91,-19
29/01/17 15:15,4486,4586,307,579,-119,-136,17
29/01/17 15:30,4468,4530,313,578,-81,-136,55
29/01/17 15:45,4466,4568,308,572,-120,-176,56
29/01/17 16:00,4484,4531,301,585,-67,-176,109
29/01/17 16:15,4528,4507,296,583,2,-180,182
29/01/17 16:30,4577,4478,300,587,79,-180,259
29/01/17 16:45,4665,4621,303,580,22,-240,262
29/01/17 17:00,4799,4663,303,571,115,-165,280
29/01/17 17:15,4987,4700,272,575,266,-90,356
29/01/17 17:30,5147,4712,273,590,413,-15,428
29/01/17 17:45,5221,4785,267,576,415,-14,429
29/01/17 18:00,5269,4816,277,571,429,-14,443
