Date,Rainfall,MaxTemp,MinTemp,GrassMinTemp,AVRWind,MaxWindGust
27/01/17,7.9,8.7,4.3,-0.7,11.6,
28/01/17,3.5,8,4.5,2.9,12.6,
29/01/17,4.7,9,4.9,3.7,9.8,
30/01/17,7.8,11.2,7.1,5.8,14.3,
31/01/17,0,10.3,7.3,5.8,10,
01/02/17,0.6,10.2,6.1,5.2,20,38
02/02/17,4.9,11.2,7.4,6.4,20.8,45
03/02/17,2.2,8.5,3.6,2.1,19.5,46
04/02/17,5.3,6.5,1.8,-1.3,10.7,
05/02/17,6.9,7.5,2.2,-1.4,10.6,
06/02/17,7.6,11.3,5.9,4.8,22.3,47
07/02/17,13.3,8.1,2.7,-3.3,6.8,
08/02/17,0,9.1,6.1,1.9,15.1,
09/02/17,0,9,1.3,-0.6,21,34
10/02/17,0,4.2,0.9,-1.3,12.3,
11/02/17,0,6.4,0.1,-4.4,11.9,
12/02/17,0,5,2.6,0.7,18.8,
13/02/17,0,9.4,3,2.2,23.1,41
14/02/17,0.8,11.4,6.2,4.3,17.4,
15/02/17,2.2,10.7,7.7,6,17.5,35
16/02/17,3.1,10,8.3,7,13.6,
17/02/17,7,11.5,7.9,5.8,11.9,
18/02/17,1,10.3,8.2,6.5,10.4,
19/02/17,0.8,10.1,8.8,8.6,13.4,
20/02/17,1.3,10.4,8.3,7.3,14.2,
21/02/17,4.4,10.7,8.5,7.9,20.4,36
22/02/17,13,10.3,8.1,7.9,16.1,39
23/02/17,2.4,10,4.9,3.4,31.8,76
24/02/17,1.2,9.6,5.4,3.3,18.1,42
25/02/17,4.1,10.4,7.3,5.7,20.6,46
26/02/17,10.6,9.6,2.7,0.4,23.8,48
